gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_00610,ec_contig_7,303854,149625,,
BBFGCJEA_00576,ec_contig_7,213781,105271,,
BBFGCJEA_04119,ec_contig_18,454455,46853,,
IEOEGPMD_05527,pa_contig_19,72136,35521.5,,
BBFGCJEA_00203,ec_contig_4,52368,25787.3,,
BBFGCJEA_00202,ec_contig_4,51759,25487.4,,
BBFGCJEA_00204,ec_contig_4,51175,25199.8,,
IEOEGPMD_05528,pa_contig_19,50907,25067.9,,
BBFGCJEA_01435,ec_contig_16,51575,25067,,
BBFGCJEA_02439,ec_contig_16,50216,25057.3,,
BBFGCJEA_02440,ec_contig_16,48930,24415.6,,
BBFGCJEA_00400,ec_contig_7,46965,23435.1,,
BBFGCJEA_02886,ec_contig_16,39633,19262.8,,
BBFGCJEA_02896,ec_contig_16,39223,19063.5,,
BBFGCJEA_01434,ec_contig_16,38670,18794.8,,
BBFGCJEA_00611,ec_contig_7,38514,18718.9,,
IEOEGPMD_05796,pa_contig_19,36305,17877.5,,
BBFGCJEA_01190,ec_contig_16,35703,17581,,
BBFGCJEA_04050,ec_contig_18,43030,17315.8,,
BBFGCJEA_04120,ec_contig_18,56802,16871.2,,hypothetical protein
BBFGCJEA_00361,ec_contig_7,581909,12537.4,aceK,Isocitrate dehydrogenase kinase/phosphatase
BBFGCJEA_03661,ec_contig_17,19916,9807.13,,
BBFGCJEA_00523,ec_contig_7,19818,9758.87,,
BBFGCJEA_02897,ec_contig_16,19614,9658.42,,
BBFGCJEA_04344,ec_contig_18,19129,9419.59,,
BBFGCJEA_02436,ec_contig_16,17908,8935.92,,
KHPLLONG_03311,cn_contig_1,18050,8888.27,,
BBFGCJEA_04345,ec_contig_18,17806,8768.11,,
KHPLLONG_03314,cn_contig_1,16862,8303.26,,
BBFGCJEA_00402,ec_contig_7,14336,7059.4,,
BBFGCJEA_00407,ec_contig_7,14080,6933.34,,
BBFGCJEA_00612,ec_contig_7,14075,6930.88,,
BBFGCJEA_04148,ec_contig_18,14015,6901.33,,
BBFGCJEA_00368,ec_contig_7,13978,6883.11,,
BBFGCJEA_03561,ec_contig_17,12849,5527.18,,
BBFGCJEA_01117,ec_contig_16,11118,5474.78,,
BBFGCJEA_02572,ec_contig_16,11005,5348.76,,
BBFGCJEA_01119,ec_contig_16,10837,5336.41,,
BBFGCJEA_01126,ec_contig_16,10772,5304.4,,
BBFGCJEA_01114,ec_contig_16,10627,5233,,
BBFGCJEA_04340,ec_contig_18,9207,4533.75,,
BBFGCJEA_03129,ec_contig_16,10377,4463.81,,
IEOEGPMD_05203,pa_contig_19,8795,4330.87,,
