gene_id,Chr,Product,Name,wt_TPM,lim_TPM
KHPLLONG_02979,cn_contig_1,,,92.4992,405.835
KHPLLONG_03309,cn_contig_1,,,0.637926,3.40221
KHPLLONG_03310,cn_contig_1,,,91.7774,472.235
KHPLLONG_03311,cn_contig_1,,,3733.14,8888.27
KHPLLONG_03312,cn_contig_1,,,1.91378,1.94412
KHPLLONG_03313,cn_contig_1,,,91.7774,428.902
KHPLLONG_03314,cn_contig_1,,,3387.68,8303.26
KHPLLONG_03450,cn_contig_1,,,0.32316,0.492425
KHPLLONG_03463,cn_contig_1,Elongation factor 4,lepA,0.0136902,0.0208608
KHPLLONG_04209,cn_contig_1,hypothetical protein,,0.202641,0.185269
KHPLLONG_05997,cn_contig_1,,,90.9044,381.533
KHPLLONG_06157,cn_contig_1,,,2.23274,4.8603
KHPLLONG_06319,cn_contig_1,hypothetical protein,,0.162113,0.123512
KHPLLONG_00003,cn_contig_2,hypothetical protein,,0.162113,0.247025
KHPLLONG_01980,cn_contig_2,hypothetical protein,,0.121585,0.185269
BBFGCJEA_00120,ec_contig_4,Toxin-antitoxin biofilm protein TabA,tabA,386.836,135.653
BBFGCJEA_00121,ec_contig_4,HTH-type transcriptional repressor BdcR,bdcR,9.55116,2.20513
BBFGCJEA_00122,ec_contig_4,Cyclic-di-GMP-binding biofilm dispersal mediator protein,bdcA,3.81817,0.891054
BBFGCJEA_00123,ec_contig_4,RutC family protein YjgH,yjgH,3.72123,1.41759
BBFGCJEA_00124,ec_contig_4,Aspartate carbamoyltransferase catalytic subunit,pyrB,293.934,1.35943
BBFGCJEA_00125,ec_contig_4,Aspartate carbamoyltransferase regulatory chain,pyrI,419.808,1.86311
BBFGCJEA_00126,ec_contig_4,2-iminobutanoate/2-iminopropanoate deaminase,ridA_1,361.421,5.4154
BBFGCJEA_00127,ec_contig_4,Magnesium-transporting ATPase%2C P-type 1,mgtA,88.5604,2.49773
BBFGCJEA_00128,ec_contig_4,HTH-type transcriptional regulator TreR,treR,9.32663,1.0264
BBFGCJEA_00129,ec_contig_4,PTS system trehalose-specific EIIBC component,treB,5.95868,0.315817
BBFGCJEA_00130,ec_contig_4,Trehalose-6-phosphate hydrolase,treC,3.70775,0.112996
BBFGCJEA_00131,ec_contig_4,Anaerobic ribonucleoside-triphosphate reductase,nrdD,4.96025,3.2018
BBFGCJEA_00132,ec_contig_4,Anaerobic ribonucleoside-triphosphate reductase-activating protein,nrdG,3.06342,0.724341
BBFGCJEA_00133,ec_contig_4,Soluble cytochrome b562,cybC,12.5638,5.43455
BBFGCJEA_00134,ec_contig_4,Metalloprotease PmbA,pmbA,24.8506,3.62349
BBFGCJEA_00135,ec_contig_4,Dual-action ribosomal maturation protein DarP,darP,90.6323,9.01708
BBFGCJEA_00136,ec_contig_4,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2%2C6-diaminoheptandioate ligase,mpl,34.2483,2.77822
BBFGCJEA_00137,ec_contig_4,Fructose-1%2C6-bisphosphatase class 1,fbp,64.3382,9.25305
BBFGCJEA_00138,ec_contig_4,Inner membrane ABC transporter permease protein YjfF,yjfF,2.02202,0.41332
BBFGCJEA_00139,ec_contig_4,Galactofuranose transporter permease protein YtfT,ytfT,0.93631,0.182914
BBFGCJEA_00140,ec_contig_4,Galactofuranose transporter ATP-binding protein YtfR,ytfR,1.22556,0.0995989
BBFGCJEA_00141,ec_contig_4,Galactofuranose-binding protein YtfQ,ytfQ,1.89911,0.351952
BBFGCJEA_00142,ec_contig_4,Inorganic pyrophosphatase,ppa,714.418,30.2354
BBFGCJEA_00143,ec_contig_4,Endoribonuclease toxin ChpB,chpB,27.8348,15.4449
BBFGCJEA_00144,ec_contig_4,Antitoxin ChpS,chpS,8.08925,2.82167
BBFGCJEA_00145,ec_contig_4,Gamma-glutamylcyclotransferase family protein YtfP,ytfP,90.772,42.8957
BBFGCJEA_00146,ec_contig_4,Translocation and assembly module subunit TamB,tamB,30.4728,4.37607
BBFGCJEA_00147,ec_contig_4,Translocation and assembly module subunit TamA,tamA,13.7106,1.10071
BBFGCJEA_00148,ec_contig_4,Peptide methionine sulfoxide reductase MsrA,msrA,48.39,9.89781
BBFGCJEA_00149,ec_contig_4,Polyamine export protein,paeA,15.3318,1.75426
BBFGCJEA_00150,ec_contig_4,hypothetical protein,,604.868,82.9843
BBFGCJEA_00151,ec_contig_4,putative protein YtfJ,ytfJ,5.97409,4.31559
BBFGCJEA_00152,ec_contig_4,hypothetical protein,,1.20316,0.677543
BBFGCJEA_00153,ec_contig_4,3'(2')%2C5'-bisphosphate nucleotidase CysQ,cysQ,25.0905,7.9798
BBFGCJEA_00154,ec_contig_4,2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase,cpdB,6.92333,0.519782
BBFGCJEA_00155,ec_contig_4,hypothetical protein,,6.76854,12.2783
BBFGCJEA_00156,ec_contig_4,Quinone oxidoreductase 2,qorB,3.56564,0.738923
BBFGCJEA_00157,ec_contig_4,Inner membrane protein YtfF,ytfF,9.33082,1.04602
BBFGCJEA_00158,ec_contig_4,Iron-sulfur cluster repair protein YtfE,ytfE,4.85276,0.846703
BBFGCJEA_00159,ec_contig_4,D-serine/D-alanine/glycine transporter,cycA,35.3888,4.74094
BBFGCJEA_00160,ec_contig_4,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,fklB,108.049,2.65164
BBFGCJEA_00161,ec_contig_4,hypothetical protein,,20.9857,5.68099
BBFGCJEA_00162,ec_contig_4,hypothetical protein,,11.3412,3.09008
BBFGCJEA_00163,ec_contig_4,hypothetical protein,,4.1088,0.0470746
BBFGCJEA_00164,ec_contig_4,Large ribosomal subunit protein bL9,rplI,1023.83,34.0977
BBFGCJEA_00165,ec_contig_4,Small ribosomal subunit protein bS18,rpsR,639.641,23.9647
BBFGCJEA_00166,ec_contig_4,Replication restart protein PriB,priB,944.747,30.4146
BBFGCJEA_00167,ec_contig_4,Small ribosomal subunit protein bS6,rpsF,1291.45,37.4243
BBFGCJEA_00168,ec_contig_4,hypothetical protein,,13.0809,157.155
BBFGCJEA_00169,ec_contig_4,L-ribulose-5-phosphate 4-epimerase UlaF,ulaF,0.929496,0.2179
BBFGCJEA_00170,ec_contig_4,L-ribulose-5-phosphate 3-epimerase UlaE,ulaE_2,1.69479,0.131313
BBFGCJEA_00171,ec_contig_4,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,ulaD,2.15043,0.344924
BBFGCJEA_00172,ec_contig_4,Ascorbate-specific PTS system EIIA component,ulaC,2.05988,0.241447
BBFGCJEA_00173,ec_contig_4,Ascorbate-specific PTS system EIIB component,ulaB,0.642095,0.122302
BBFGCJEA_00174,ec_contig_4,Ascorbate-specific PTS system EIIC component,ulaA,1.12436,0.240929
BBFGCJEA_00175,ec_contig_4,putative L-ascorbate-6-phosphate lactonase UlaG,ulaG,1.68346,0.386542
BBFGCJEA_00176,ec_contig_4,HTH-type transcriptional regulator UlaR,ulaR,10.1359,1.18807
BBFGCJEA_00177,ec_contig_4,hypothetical protein,,7.40079,1.29737
BBFGCJEA_00178,ec_contig_4,Lipoprotein BsmA,bsmA,43.7617,13.6088
BBFGCJEA_00179,ec_contig_4,hypothetical protein,,5.33916,3.79667
BBFGCJEA_00180,ec_contig_4,Putative acyl-CoA dehydrogenase AidB,aidB,5.75487,3.03813
BBFGCJEA_00181,ec_contig_4,Putative acid--amine ligase YjfC,yjfC,1.49808,0.289363
BBFGCJEA_00182,ec_contig_4,hypothetical protein,,1.19149,0.175701
BBFGCJEA_00183,ec_contig_4,hypothetical protein,,1.78507,0.562771
BBFGCJEA_00184,ec_contig_4,hypothetical protein,,1.11637,0.340221
BBFGCJEA_00185,ec_contig_4,hypothetical protein,,1.05408,0.160619
BBFGCJEA_00186,ec_contig_4,hypothetical protein,,1.46628,0.18619
BBFGCJEA_00187,ec_contig_4,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,rlmB,36.6053,3.27207
BBFGCJEA_00188,ec_contig_4,Ribonuclease R,rnr,37.0916,3.2796
BBFGCJEA_00189,ec_contig_4,HTH-type transcriptional repressor NsrR,nsrR,95.3579,25.3009
BBFGCJEA_00190,ec_contig_4,Adenylosuccinate synthetase,purA,298.843,29.4439
BBFGCJEA_00191,ec_contig_4,hypothetical protein,,5.33377,4.34726
BBFGCJEA_00192,ec_contig_4,Modulator of FtsH protease HflC,hflC,129.252,6.66562
BBFGCJEA_00193,ec_contig_4,Modulator of FtsH protease HflK,hflK,117.304,6.23738
BBFGCJEA_00194,ec_contig_4,GTPase HflX,hflX,135.416,16.3019
BBFGCJEA_00195,ec_contig_4,RNA-binding protein Hfq,hfq,389.624,48.9301
BBFGCJEA_00196,ec_contig_4,tRNA dimethylallyltransferase,miaA,190.593,44.311
BBFGCJEA_00197,ec_contig_4,DNA mismatch repair protein MutL,mutL,50.8214,4.8603
BBFGCJEA_00198,ec_contig_4,N-acetylmuramoyl-L-alanine amidase AmiB,amiB,29.4979,4.67104
BBFGCJEA_00199,ec_contig_4,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,tsaE,12.9712,2.59216
BBFGCJEA_00200,ec_contig_4,Bifunctional NAD(P)H-hydrate repair enzyme Nnr,nnr,23.7431,6.56695
BBFGCJEA_00201,ec_contig_4,Epoxyqueuosine reductase,queG,25.7881,10.8333
BBFGCJEA_00202,ec_contig_4,,,3608.72,25487.4
BBFGCJEA_00203,ec_contig_4,,,4135.15,25787.3
BBFGCJEA_00204,ec_contig_4,,,4393.36,25199.8
BBFGCJEA_00205,ec_contig_4,Oligoribonuclease,orn,37.8748,3.15296
BBFGCJEA_00206,ec_contig_4,Small ribosomal subunit biogenesis GTPase RsgA,rsgA,46.5313,5.33109
BBFGCJEA_00207,ec_contig_4,Phosphatidylserine decarboxylase proenzyme,psd,24.6869,2.24005
BBFGCJEA_00208,ec_contig_4,Miniconductance mechanosensitive channel MscM,mscM,14.2824,0.709305
BBFGCJEA_00209,ec_contig_4,Inner membrane protein YjeO,yjeO,13.4554,0.617562
BBFGCJEA_00210,ec_contig_4,hypothetical protein,,3.7425,0.831651
BBFGCJEA_00211,ec_contig_4,Inner membrane transporter YjeM,yjeM,3.28479,1.41175
BBFGCJEA_00212,ec_contig_4,Elongation factor P--(R)-beta-lysine ligase,epmA,34.9568,2.10464
BBFGCJEA_00213,ec_contig_4,Fumarate reductase flavoprotein subunit,frdA,5.58,0.537883
BBFGCJEA_00214,ec_contig_4,Fumarate reductase iron-sulfur subunit,frdB,16.8078,0.712843
BBFGCJEA_00215,ec_contig_4,Fumarate reductase subunit C,frdC,19.1023,1.32308
BBFGCJEA_00216,ec_contig_4,Fumarate reductase subunit D,frdD,24.6966,15.3855
BBFGCJEA_00217,ec_contig_4,Beta-lactamase,ampC,5.43615,0.429026
BBFGCJEA_00218,ec_contig_4,Outer membrane lipoprotein Blc,blc,21.8466,12.1243
BBFGCJEA_00219,ec_contig_4,Guanidinium exporter,gdx,40.084,6.00201
BBFGCJEA_00220,ec_contig_4,hypothetical protein,,1251.56,295.066
BBFGCJEA_00221,ec_contig_4,hypothetical protein,,16.3734,0.891054
BBFGCJEA_00222,ec_contig_4,Elongation factor P,efp,505.107,14.7189
BBFGCJEA_00223,ec_contig_4,L-lysine 2%2C3-aminomutase,epmB,32.365,4.1825
BBFGCJEA_00224,ec_contig_4,hypothetical protein,,19.7328,1.63462
BBFGCJEA_00225,ec_contig_4,hypothetical protein,,98.5181,4.22873
BBFGCJEA_00226,ec_contig_4,Chaperonin GroEL,groEL,234.701,11.1114
BBFGCJEA_00227,ec_contig_4,Co-chaperonin GroES,groES,200.825,15.0206
BBFGCJEA_00228,ec_contig_4,L-methionine/branched-chain amino acid exporter YjeH,yjeH,31.6136,4.37659
BBFGCJEA_00229,ec_contig_4,hypothetical protein,,26.9801,5.96278
BBFGCJEA_00230,ec_contig_4,Aspartate ammonia-lyase,aspA,225.946,69.0669
BBFGCJEA_00231,ec_contig_4,C4-dicarboxylate transporter DcuA,dcuA,30.5964,2.44321
BBFGCJEA_00232,ec_contig_4,Divalent-cation tolerance protein CutA,cutA,8.18671,1.10396
BBFGCJEA_00233,ec_contig_4,Thiol:disulfide interchange protein DsbD,dsbD,16.5181,0.771407
BBFGCJEA_00234,ec_contig_4,hypothetical protein,,16.4587,6.49727
BBFGCJEA_00235,ec_contig_4,,,4265.71,667.235
BBFGCJEA_00236,ec_contig_4,Transcriptional activator CadC,cadC,4.10134,1.11859
BBFGCJEA_00237,ec_contig_4,Cadaverine/lysine antiporter,cadB,0.331148,0.0280332
BBFGCJEA_00238,ec_contig_4,Inducible lysine decarboxylase,cadA,1.66936,0.156806
BBFGCJEA_00239,ec_contig_4,Dipeptide and tripeptide permease C,dtpC,3.99229,0.641706
BBFGCJEA_00240,ec_contig_4,Lysine--tRNA ligase%2C heat inducible,lysU,13.6068,1.23268
BBFGCJEA_00241,ec_contig_4,Toxin GhoT,ghoT,1.1292,0.215082
BBFGCJEA_00242,ec_contig_4,Endoribonuclease antitoxin GhoS,ghoS,1.07502,0.882054
BBFGCJEA_00243,ec_contig_4,putative protein YjdJ,yjdJ,45.9715,11.3781
BBFGCJEA_00244,ec_contig_4,hypothetical protein,,2.23274,2.59216
BBFGCJEA_00245,ec_contig_4,Sensor histidine kinase DcuS,dcuS,18.7662,1.10071
BBFGCJEA_00246,ec_contig_4,Transcriptional regulatory protein DcuR,dcuR,11.325,1.92319
BBFGCJEA_00247,ec_contig_4,Anaerobic C4-dicarboxylate transporter DcuB,dcuB,0.934054,0.25117
BBFGCJEA_00248,ec_contig_4,Fumarate hydratase class I%2C anaerobic,fumB,1.53594,0.181782
BBFGCJEA_00249,ec_contig_4,Inner membrane protein YjdF,yjdF,3.7425,0.356422
BBFGCJEA_00250,ec_contig_4,Melibiose permease,melB,3.90175,0.743177
BBFGCJEA_00251,ec_contig_4,Alpha-galactosidase,melA,1.95612,0.634778
BBFGCJEA_00252,ec_contig_4,Melibiose operon regulatory protein,melR_1,6.24136,2.09971
BBFGCJEA_00253,ec_contig_4,Biodegradative arginine decarboxylase,adiA,1.44917,0.181271
BBFGCJEA_00254,ec_contig_4,HTH-type transcriptional regulator AdiY,adiY_1,0.257849,0.14734
BBFGCJEA_00255,ec_contig_4,Arginine/agmatine antiporter,adiC,1.083,0.223762
BBFGCJEA_00256,ec_contig_4,Phosphoethanolamine transferase EptA,eptA,2.19607,0.796746
BBFGCJEA_00257,ec_contig_4,Transcriptional regulatory protein BasR,basR,4.00158,1.90198
BBFGCJEA_00258,ec_contig_4,Sensor protein BasS,basS,5.46524,0.781797
BBFGCJEA_00259,ec_contig_4,hypothetical protein,,79.684,13.3064
BBFGCJEA_00260,ec_contig_4,Proline/betaine transporter,proP,84.3509,36.8765
BBFGCJEA_00261,ec_contig_4,hypothetical protein,,1.50881,0.0851519
BBFGCJEA_00262,ec_contig_4,Clamp-binding protein CrfC,crfC,1.53157,0.184687
BBFGCJEA_00263,ec_contig_4,hypothetical protein,,19.2242,1.55934
BBFGCJEA_00264,ec_contig_4,hypothetical protein,,3.92741,11.8847
BBFGCJEA_00266,ec_contig_4,hypothetical protein,,0.362244,0.0735974
BBFGCJEA_00267,ec_contig_4,Phosphate-import permease protein PhnE,phnE,0.931821,0.101421
BBFGCJEA_00269,ec_contig_4,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG,phnG,0.867466,0.0826143
BBFGCJEA_00270,ec_contig_4,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH,phnH,0.965612,0.127946
BBFGCJEA_00271,ec_contig_4,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI,phnI,0.138367,0.10542
BBFGCJEA_00273,ec_contig_4,Putative phosphonates utilization ATP-binding protein PhnK,phnK,0.485378,0.0493073
BBFGCJEA_00274,ec_contig_4,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL,phnL,4.6163,1.04414
BBFGCJEA_00275,ec_contig_4,Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,phnM,0.885634,0.263319
BBFGCJEA_00276,ec_contig_4,Ribose 1%2C5-bisphosphate phosphokinase PhnN,phnN,3.25708,1.20723
BBFGCJEA_00277,ec_contig_4,Aminoalkylphosphonate N-acetyltransferase,phnO,7.22689,1.29049
BBFGCJEA_00278,ec_contig_4,Phosphoribosyl 1%2C2-cyclic phosphate phosphodiesterase,phnP,5.59803,1.13407
BBFGCJEA_00279,ec_contig_4,hypothetical protein,,9.60078,1.81451
BBFGCJEA_00280,ec_contig_4,Ribose-5-phosphate isomerase B,rpiB,2.01939,0.16633
BBFGCJEA_00281,ec_contig_4,HTH-type transcriptional regulator RpiR,rpiR,19.7914,2.05813
BBFGCJEA_00282,ec_contig_4,D-allose-binding periplasmic protein,alsB,1.52189,0.479798
BBFGCJEA_00283,ec_contig_4,Ribose import ATP-binding protein RbsA,rbsA_1,1.90649,0.512661
BBFGCJEA_00284,ec_contig_4,D-allose transport system permease protein AlsC,alsC,1.60229,0.305193
BBFGCJEA_00285,ec_contig_4,D-allulose-6-phosphate 3-epimerase,alsE,2.50542,0.215082
BBFGCJEA_00286,ec_contig_4,D-allose kinase,alsK,2.1127,0.523135
BBFGCJEA_00287,ec_contig_4,Linear primary-alkylsulfatase,yjcS,0.643065,0.0753762
BBFGCJEA_00288,ec_contig_4,hypothetical protein,,0.44493,0.135595
BBFGCJEA_00289,ec_contig_4,Multidrug resistance protein MdtN,mdtN,0.856749,0.217583
BBFGCJEA_00290,ec_contig_4,Multidrug resistance protein MdtO,mdtO,0.837821,0.164142
BBFGCJEA_00291,ec_contig_4,Cation efflux system protein CusC,cusC_1,1.07147,0.0765323
BBFGCJEA_00292,ec_contig_4,Formate dehydrogenase H,fdhF_1,3.27469,1.51479
BBFGCJEA_00293,ec_contig_4,Formate dehydrogenase H,fdhF_2,7.06104,2.02715
BBFGCJEA_00294,ec_contig_4,hypothetical protein,,30.54,3.79667
BBFGCJEA_00295,ec_contig_4,Proton/glutamate-aspartate symporter,gltP,20.2425,0.626586
BBFGCJEA_00296,ec_contig_4,Formate-dependent nitrite reductase complex subunit NrfG,nrfG,2.0981,0.125374
BBFGCJEA_00297,ec_contig_4,Cytochrome c-type biogenesis protein CcmH,ccmH_1,0.767504,0.194918
BBFGCJEA_00298,ec_contig_4,Cytochrome c-type biogenesis protein CcmF,ccmF_1,1.31653,0.391998
BBFGCJEA_00300,ec_contig_4,putative ferredoxin-like protein YdhX,ydhX_1,1.16953,0.111382
BBFGCJEA_00301,ec_contig_4,Cytochrome c-type protein NrfB,nrfB,1.99253,0.198012
BBFGCJEA_00302,ec_contig_4,Cytochrome c-552,nrfA,1.7604,0.130217
BBFGCJEA_00303,ec_contig_4,Acetyl-coenzyme A synthetase,acs_1,21.3005,1.06981
BBFGCJEA_00304,ec_contig_4,Inner membrane protein YjcH,yjcH,6.70531,0.475229
BBFGCJEA_00305,ec_contig_4,Cation/acetate symporter ActP,actP,3.20026,0.294858
BBFGCJEA_00306,ec_contig_4,hypothetical protein,,2.5073,0.955144
BBFGCJEA_00307,ec_contig_4,Sodium%2C potassium%2C lithium and rubidium/H(+) antiporter,nhaK,12.0419,1.22479
BBFGCJEA_00308,ec_contig_4,Guanine/hypoxanthine permease GhxP,ghxP,55.9062,0.914816
BBFGCJEA_00309,ec_contig_4,Redox-sensitive transcriptional activator SoxR,soxR,7.65854,5.55328
BBFGCJEA_00310,ec_contig_4,Regulatory protein SoxS,soxS,35.779,91.135
BBFGCJEA_00311,ec_contig_4,putative cyclic di-GMP phosphodiesterase PdeC,pdeC,3.51301,1.13193
BBFGCJEA_00312,ec_contig_4,hypothetical protein,,6.27067,14.2
BBFGCJEA_00313,ec_contig_4,Single-stranded DNA-binding protein,ssb,95.4049,12.3354
BBFGCJEA_00314,ec_contig_4,UvrABC system protein A,uvrA,13.3284,4.32175
BBFGCJEA_00315,ec_contig_4,putative protein YjbR,yjbR,38.8009,8.91054
BBFGCJEA_00316,ec_contig_4,hypothetical protein,,56.0701,12.4748
BBFGCJEA_00317,ec_contig_4,Class B acid phosphatase,aphA,4.88451,0.471735
