gene_id,Chr,Reads,TPM,Name,Product
KHPLLONG_02979,cn_contig_1,290,92.4992,,
KHPLLONG_03309,cn_contig_1,2,0.637926,,
KHPLLONG_03310,cn_contig_1,284,91.7774,,
KHPLLONG_03311,cn_contig_1,11552,3733.14,,
KHPLLONG_03312,cn_contig_1,6,1.91378,,
KHPLLONG_03313,cn_contig_1,284,91.7774,,
KHPLLONG_03314,cn_contig_1,10483,3387.68,,
KHPLLONG_03449,cn_contig_1,1,0.32316,,
KHPLLONG_03450,cn_contig_1,1,0.32316,,
KHPLLONG_03463,cn_contig_1,1,0.0136902,lepA,Elongation factor 4
KHPLLONG_04158,cn_contig_1,1,0.318963,,
KHPLLONG_04209,cn_contig_1,5,0.202641,,hypothetical protein
KHPLLONG_04404,cn_contig_1,1,0.00578158,rpoC,DNA-directed RNA polymerase subunit beta'
KHPLLONG_04405,cn_contig_1,1,0.00598007,rpoB,DNA-directed RNA polymerase subunit beta RpoB
KHPLLONG_04417,cn_contig_1,4,0.162113,,hypothetical protein
KHPLLONG_05997,cn_contig_1,285,90.9044,,
KHPLLONG_06064,cn_contig_1,2,0.646319,,
KHPLLONG_06157,cn_contig_1,7,2.23274,,
KHPLLONG_06319,cn_contig_1,4,0.162113,,hypothetical protein
KHPLLONG_00003,cn_contig_2,4,0.162113,,hypothetical protein
KHPLLONG_01980,cn_contig_2,3,0.121585,,hypothetical protein
KHPLLONG_02404,cn_contig_2,1,0.00947536,acnB,Aconitate hydratase B
BBFGCJEA_00120,ec_contig_4,7135,386.836,tabA,Toxin-antitoxin biofilm protein TabA
BBFGCJEA_00121,ec_contig_4,231,9.55116,bdcR,HTH-type transcriptional repressor BdcR
BBFGCJEA_00122,ec_contig_4,111,3.81817,bdcA,Cyclic-di-GMP-binding biofilm dispersal mediator protein
BBFGCJEA_00123,ec_contig_4,60,3.72123,yjgH,RutC family protein YjgH
BBFGCJEA_00124,ec_contig_4,11202,293.934,pyrB,Aspartate carbamoyltransferase catalytic subunit
BBFGCJEA_00125,ec_contig_4,7897,419.808,pyrI,Aspartate carbamoyltransferase regulatory chain
BBFGCJEA_00126,ec_contig_4,5695,361.421,ridA_1,2-iminobutanoate/2-iminopropanoate deaminase
BBFGCJEA_00127,ec_contig_4,9725,88.5604,mgtA,Magnesium-transporting ATPase%2C P-type 1
BBFGCJEA_00128,ec_contig_4,360,9.32663,treR,HTH-type transcriptional regulator TreR
BBFGCJEA_00129,ec_contig_4,345,5.95868,treB,PTS system trehalose-specific EIIBC component
BBFGCJEA_00130,ec_contig_4,250,3.70775,treC,Trehalose-6-phosphate hydrolase
BBFGCJEA_00131,ec_contig_4,432,4.96025,nrdD,Anaerobic ribonucleoside-triphosphate reductase
BBFGCJEA_00132,ec_contig_4,58,3.06342,nrdG,Anaerobic ribonucleoside-triphosphate reductase-activating protein
BBFGCJEA_00133,ec_contig_4,155,12.5638,cybC,Soluble cytochrome b562
BBFGCJEA_00134,ec_contig_4,1369,24.8506,pmbA,Metalloprotease PmbA
BBFGCJEA_00135,ec_contig_4,2037,90.6323,darP,Dual-action ribosomal maturation protein DarP
BBFGCJEA_00136,ec_contig_4,1916,34.2483,mpl,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2%2C6-diaminoheptandioate ligase
BBFGCJEA_00137,ec_contig_4,2617,64.3382,fbp,Fructose-1%2C6-bisphosphatase class 1
BBFGCJEA_00138,ec_contig_4,82,2.02202,yjfF,Inner membrane ABC transporter permease protein YjfF
BBFGCJEA_00139,ec_contig_4,39,0.93631,ytfT,Galactofuranose transporter permease protein YtfT
BBFGCJEA_00140,ec_contig_4,75,1.22556,ytfR,Galactofuranose transporter ATP-binding protein YtfR
BBFGCJEA_00141,ec_contig_4,74,1.89911,ytfQ,Galactofuranose-binding protein YtfQ
BBFGCJEA_00142,ec_contig_4,15446,714.418,ppa,Inorganic pyrophosphatase
BBFGCJEA_00143,ec_contig_4,357,27.8348,chpB,Endoribonuclease toxin ChpB
BBFGCJEA_00144,ec_contig_4,83,8.08925,chpS,Antitoxin ChpS
BBFGCJEA_00145,ec_contig_4,1264,90.772,ytfP,Gamma-glutamylcyclotransferase family protein YtfP
BBFGCJEA_00146,ec_contig_4,4690,30.4728,tamB,Translocation and assembly module subunit TamB
BBFGCJEA_00147,ec_contig_4,968,13.7106,tamA,Translocation and assembly module subunit TamA
BBFGCJEA_00148,ec_contig_4,1259,48.39,msrA,Peptide methionine sulfoxide reductase MsrA
BBFGCJEA_00149,ec_contig_4,839,15.3318,paeA,Polyamine export protein
BBFGCJEA_00150,ec_contig_4,5098,604.868,,hypothetical protein
